,Review,Category,Drug,category_id
27,"I experienced muscle spasms/twitches, sleeplessness at night [and] sleepiness during my waking hours",Adverse,Phenytoin,1
28,"At first the same symptoms persisted, but subsided over time",Effective,Phenytoin,0
29,"I have been on both Dilantin and Phenytek for 22 years; currently on Phenytek and my seizures are controlled, with minor/minimal side effects; occasional muscle twitching and/or headaches remedied with Tylenol",Effective,Phenytoin,0
30,"So far, so good",Effective,Phenytoin,0
31,The extended release has been great,Effective,Phenytoin,0
32,I'm able to stay at 20-22 with the proper dosages that have been prescribed for me,Effective,Phenytoin,0
33,"When I was on the generic, my levels were not as stable",Ineffective,Phenytoin,2
34,"""I experienced Stevens Johnson Syndrome when I first started taking this drug",Adverse,Phenytoin,1
35,It took 3 months of high doses of prednisone to recover,Effective,Phenytoin,0
36,It works very well for me and the only time I ever had any complications is when I have gone more than 1 day without taking it,Effective,Phenytoin,0
37,First month was fine,Effective,Phenytoin,0
38,"5th week I started getting low grade fevers, nausea, pinprick rashes, slightly swollen gums",Adverse,Phenytoin,1
39,"6th week my gums were very swollen, so much that it hurts to eat and talk",Adverse,Phenytoin,1
40,"No sex drive for who knows how long, acne like I've never had before, vasodilation to the point of my entire body being red and feeling extremely hot - 98 degrees temperature, compared to a normal 80 - 85",Adverse,Phenytoin,1
41,"I haven't had any seizures, but I'm miserable, so I'm titrating down and will try something else",Effective,Phenytoin,0
42,"""I've been on Dilantin for about 20 years and it works for me",Effective,Phenytoin,0
43,"""Works fast and was effective for me, but the side effects left me in never-never land",Adverse,Phenytoin,1
44,"Could not think straight, had no short-term memory, was dizzy, and had no sense of time",Adverse,Phenytoin,1
45,"""I'm 52 years old and had a Grand Mal 4 years ago and have been taking Dilantin since without incidence",Effective,Phenytoin,0
46,No side effects,Effective,Phenytoin,0
47,The medicine is effective and relatively affordable,Effective,Phenytoin,0
48,It seems to work just about 60 to 70% of the time for both conditions,Effective,Phenytoin,0
49,"Side effects need to be looked at, although I don't experience any serious Adverse effects",Effective,Phenytoin,0
50,"""I've been on Dilantin since 1979 and have not had any issues or seizures",Effective,Phenytoin,0
51,It works very well for me,Effective,Phenytoin,0
52,Presently taking this medication without side effects (aside from being a bit slow in action),Effective,Phenytoin,0
53,"""I was on Dilantin (300 mg per day) over 20 years of my Air Force career with no side effects and no seizures",Effective,Phenytoin,0
54,I was unknowingly switched to a generic brand and immediately began having seizures,Ineffective,Phenytoin,2
55,did not completely remove my seizures like Dilantin,Ineffective,Phenytoin,2
56,"""Stops the pain but makes me too dizzy to function",Adverse,Phenytoin,1
57,When pain pills do not work so good I take a Dilantin to help stop the pain,Effective,Phenytoin,0
58,because I have pulled all mine and still have the same pain,Ineffective,Phenytoin,2
59,"""Brain rot",Adverse,Phenytoin,1
60,"Have just discovered dilantin is cause to numbness in legs, feet, balance and walking control",Adverse,Phenytoin,1
61,"Thats where your cerebellum shrinks (my case about 40%) 
 It will get worse if I continue to take it, putting me in a wheel chair",Adverse,Phenytoin,1
62,As long as I take medicine things are good,Effective,Phenytoin,0
63,"Side effects are eyes sensitive to bright sunshine, gums swell, get tired quicker",Adverse,Phenytoin,1
64,Has improved quality of life,Effective,Phenytoin,0
65,"Although not perfect, it controls my seizures well",Effective,Phenytoin,0
66,"However, since menopause I have noticed a gradual increase of phenotin levels in my blood and therefore need to have regular checks",Adverse,Phenytoin,1
67,The pain is gone but I am fighting with the side effects of which drug I am unsure as they ave similar side effects,Effective,Phenytoin,0
68,"""I have been using dilantin for my epilesy for about 38 years now, it has been an excellent drug that has been used Other than the swelling of the gums",Effective,Phenytoin,0
69,"Unfortunately, the day I take 400 mg I do not get the full sound sleep at night",Ineffective,Phenytoin,2
70,"""It was okay, I took it for 15 years then they changed it 2 years ago and I cannot take it anymore",Ineffective,Phenytoin,2
71,"A year back, although on 400 mg gram of phenytoin was still having problems",Adverse,Phenytoin,1
72,"However, some seizures still exist, but no massive seizures or complete blackouts are present",Effective,Phenytoin,0
73,The combination of Dilantin and straterra has improved my communication abilities,Effective,Phenytoin,0
74,"""I had my first grand-mal seizure out of the blue at 26yrs of age 39 years ago! Dilantin has kept me free from seizures when I have remembered to take the medication",Effective,Phenytoin,0
75,"I am very thankful to God for Dilantin! I do have a real tendency to be always tired and swollen gums, but Otherwise no Other side-effects",Effective,Phenytoin,0
76,"""Now I'm almost seizure free",Effective,Phenytoin,0
77,I have not had any side effects as of yet,Effective,Phenytoin,0
78,This medicine has changed my life I was not able to do things such as drvie or even work,Effective,Phenytoin,0
79,Since on the meds I have been seizure free and living my life,Effective,Phenytoin,0
80,All of the sudden a few days ago both nipples started to increase in tenderness and I have not ever experienced this,Adverse,Phenytoin,1
81,"""I have had good but not great response with Dilantin",Effective,Phenytoin,0
82,The medicine helps to reduce my seizures significantly but the side effects are not fun,Effective,Phenytoin,0
83,"I experience shaking hands, anxiety, and being very klutzy and forgetful",Adverse,Phenytoin,1
84,"I have been on the medication for just over nine years and the seizures have slowed, but even on the treatment I'll still experience grand mals that are significant; but not as bad as they used to be",Effective,Phenytoin,0
85,"""I had an appointment with the neurologist who at the time deciding to put me on Dilantin and in two weeks I started bloating I figured it was stress over knowing that your GF of my life has to move back to Brasil just because it is a law and marriage was not legal",Adverse,Phenytoin,1
86,"""Side effects- over 5 years losing hair but I take it 3 times a day with Other medication for Multiple Sclerosis",Adverse,Phenytoin,1
87,"At first (the first 3 months I experienced unbearable side effects lightheadedness, etc",Adverse,Phenytoin,1
88,After several more months my body got used to it and I started having zero side effects,Effective,Phenytoin,0
89,After taking it now for 19 years I NEVER have seizures whatsoever but I never miss a dose,Effective,Phenytoin,0
90,I think it is a wonderful medicine and is very inexpensive,Effective,Phenytoin,0
91,"""I have been using dilantin since I was 15 years old and have had no side affects",Effective,Phenytoin,0
92,I thank god because I have grown out of most of my seizures,Effective,Phenytoin,0
93,"So far, it has been successful",Effective,Phenytoin,0
94,"""I've been taking 3 100mg Dilantin Kapseals since 1985 and it seems I am fine",Effective,Phenytoin,0
95,Never again a seizure,Effective,Phenytoin,0
96,I'd understood the generic were not quite as good,Ineffective,Phenytoin,2
97,This Adverse reaction was not mentioned to me until it was too late and the nerve damage is irreversible,Adverse,Phenytoin,1
98,"""Very effective for Trigeminal Neuralgia for past 2 years at 500mg daily",Effective,Phenytoin,0
99,"Not so great now, so I must have built tolerance to it, as I'm having daily bouts of pain again",Ineffective,Phenytoin,2
100,"""It is a miracle drug and it works fantastically",Effective,Phenytoin,0
101,"""The first 3-4 days made me a bit groggy immediately after taking it, I couldn't drive",Adverse,Phenytoin,1
102,"Within a week, I adjusted quickly",Effective,Phenytoin,0
103,"I haven't had a problem in 6 years, but I developed neuropathy which is a real pain",Adverse,Phenytoin,1
104,It makes me have balance problems,Adverse,Phenytoin,1
105,"""After about 8 days of being on Dilantin, I had a horrible allergic reaction",Adverse,Phenytoin,1
106,I woke up at like 4:30 with unbearably itchy hives that literally covered my whole body,Adverse,Phenytoin,1
107,"face, shoulders, chest, stomach, back, buttocks & legs",Adverse,Phenytoin,1
108,"even on the backs of my hands and feet, with a few spots on the palm of my hand",Adverse,Phenytoin,1
109,"It sucked, needless to say",Adverse,Phenytoin,1
110,"It also made me really tired all day, even though I'd take it at night",Adverse,Phenytoin,1
111,"""I had my dosage increased 100 mg last year to 400 mg/day, and noticed an increase in side effects",Adverse,Phenytoin,1
112,"My short term memory is awful, especially with names",Adverse,Phenytoin,1
113,"I've also noticed mood swings, weight gain, and sensitivity have increased, and I'm still having seizures",Adverse,Phenytoin,1
114,It appears it's not the drug for me,Ineffective,Phenytoin,2
115,Dilantin provides better result for me among all,Effective,Phenytoin,0
116,"There were few false side effects like rashes, constipations, nausea and dizziness but it really depends on what you have eaten",Adverse,Phenytoin,1
117,I've noticed that it's stopped me from having a seizure since the day I fitted,Effective,Phenytoin,0
118,"But ever since I've been feeling weak can't remember things from day to day and can't remember what I done like 10mins ago, I'm taking 300mg every night and I feel spaced out every day and can't be bOthered doing anything I'm only 22",Adverse,Phenytoin,1
119,I told my doctor it seemed be working,Effective,Phenytoin,0
120,Thanks it has made my quality of life much better,Effective,Phenytoin,0
121,"Seems I have some side effects like confusion, short term memory issues, can't stand metal in my mouth like silverware it's a weird feeling, insomnia",Adverse,Phenytoin,1
122,"I never thought it would be such a big deal but I started to feel high/intoxicated (not fun) blurry vision, skin tone is changing, swollen gums, tingling in face arms hands legs and feet along with slight numbness, feel unbalance",Adverse,Phenytoin,1
123,About 25 years of taking it has given me peripheral neuropathy,Adverse,Phenytoin,1
124,I am changing over to Keppra but the damage is done,Adverse,Phenytoin,1
125,My balance is off and for PAIN I take lyrica,Adverse,Phenytoin,1
126,Very dedicated to the medication and don't miss doses,Effective,Phenytoin,0
127,I am now 73 and doing fantastic,Effective,Phenytoin,0
128,"""My 6 year old son suffered seizures for over a year until Doctor gave him Dilantin in the hospital",Effective,Phenytoin,0
129,No more seizures after the first dose,Effective,Phenytoin,0
130,Dilantin was a life changing medicine for us,Effective,Phenytoin,0
131,I experience tingling / numbness in hands and fingers,Adverse,Phenytoin,1
132,"I get many more ingrown hairs on face and in public area, vertigo but not as bad as first 6 months of taking",Adverse,Phenytoin,1
133,I continue to have seizures but frequency is average of 1 ever couple of months,Ineffective,Phenytoin,2
134,I'm taking Dilantin in combination with Other drugs for seizures which have changed,Effective,Phenytoin,0
135,"No Other medicine controls the seizures like Dilantin, or its generic",Effective,Phenytoin,0
136,"""I have been taking dilantin for 3 weeks now and I have experienced most of the side effects including the more serious ones such as fever, hives, loss of balance and swollen, very tender gums",Adverse,Phenytoin,1
137,"I went to emergency 2 nights ago with skin rashes, painful gums and painful eyes",Adverse,Phenytoin,1
138,"""It does do a good job, but I also take Depakote( 4,000mg) with Dilantin(500mg) and I still have seizures",Ineffective,Phenytoin,2
139,"I had breakthroughs with petit mal seizures, but my grand mals were controlled",Effective,Phenytoin,0
140,"I had more seizures, petit mal and partial complex",Adverse,Phenytoin,1
141,Finally a new doctor started me on phenobarbital again with the Dilantin and Tegretol and I rarely have any seizures,Effective,Phenytoin,0
142,When I do they are only petit mal and last only a minute or so,Effective,Phenytoin,0
143,"Seizures were much better, but my memory is completely shot, sex drive is null and I am way more easily agitated",Adverse,Phenytoin,1
144,Plus when I took it last week I was in bed exhausted at 7:30 for no apparent reason,Adverse,Phenytoin,1
145,I am now on 500mg which does concern me even though it controls my seizures really well,Effective,Phenytoin,0
146,"So far I have swollen gums and some memory and motivation problem, although I am 58 so that might account for that",Adverse,Phenytoin,1
147,I have experience all of the side effects from the medication,Adverse,Phenytoin,1
148,My lymph nodes are swollen and very painful,Adverse,Phenytoin,1
149,It is making it difficult to talk,Adverse,Phenytoin,1
150,my whole face and neck are swollen as well,Adverse,Phenytoin,1
151,I have had painful headaches since two weeks after I started taking the medication,Adverse,Phenytoin,1
152,I have also had a fever for the past month around 99 degrees to 100 degrees,Adverse,Phenytoin,1
153,"This medication works for Other members of my family, but it does not work for me",Ineffective,Phenytoin,2
154,"""Other than some short-term memory issues, I've had no complaints with this medicine Other than when my Dr",Effective,Phenytoin,0
155,"I am though drowsy a lot but when I get to the suggested range between 10-20 measurement I have seizures all to often, I'll stick with the drowsiness!""",Ineffective,Phenytoin,2
156,"""This medicine has some rough side effects",Adverse,Phenytoin,1
157,"Lately I've noticed my energy level has increased and I haven't had a seizure in 8 days, but I notice I wake up with a headache mostly to the back of my head",Effective,Phenytoin,0
158,It is 3 in the morning here and of course I awoke with a headache and a slightly stiffer neck,Adverse,Phenytoin,1
159,"Do not have to many complaints except my head feels like something is crawling in it sometimes, forgetting things, like common names for things, peoples names and being tired",Effective,Phenytoin,0
160,"""Started on this med with phenob at age 12 due to grandmal seizure Seizures stopped at age 16 but I am now 70 with no seizures since",Effective,Phenytoin,0
161,Had sore gums that rotted my teeth,Adverse,Phenytoin,1
162,Small price to pay for no seizures for 58 years,Effective,Phenytoin,0
163,"I have bad reactions to seizure medicines, this one being the worst- along with Trileptal",Adverse,Phenytoin,1
164,This made me a complete lunatic,Adverse,Phenytoin,1
165,"""It made me very sick",Adverse,Phenytoin,1
166,It caused a reaction of large hives and made me throw up,Adverse,Phenytoin,1
167,Dilantin toxicity has happened and is a living hell for all,Adverse,Phenytoin,1
168,"The med can be good to stop nocturnal tonic clonics if you are having those, which are life-threatening",Effective,Phenytoin,0
169,"However, I got some side-effects dizziness, etc",Adverse,Phenytoin,1
170,"Later on, I have no seizures for more than 8 years where anOther doctor decreased the dose to 2 tablets a day",Effective,Phenytoin,0
171,"After which, there were no more side-effects",Effective,Phenytoin,0
172,I was seizure-free for more than 20 years now,Effective,Phenytoin,0
173,Though I've got some backaches and I've developed osteoarthritis,Adverse,Phenytoin,1
174,"I take 360mg at night, I haven't had a seizure (grand mal) for 33 years now, I get headaches sometimes (MIGRAINE), I sleep good, I am an active type person, I swim, ride a bike, go to the gym 3 times a week",Effective,Phenytoin,0
175,"""I have been on Dilantin for 20 yrs it has helped me from having seizure when I remembered to take it but the past 5 years I have taken it everyday like I'm suppose to I take 300mg everyday in the morning at the same time",Effective,Phenytoin,0
176,I do have problems remembering things that happened not even five minutes ago but its not all the time,Adverse,Phenytoin,1
177,I have the swollen gums and problems talking (Saying the wrong word at the end of a sentence),Adverse,Phenytoin,1
178,I have experienced dizzy spells but only if I took too much (Taking my meds and forgetting about taken it) Better safe than sorry,Adverse,Phenytoin,1
179,I've notice some type of rash on my side that doesn't seem to ever go away and feel a lot more stress and some weight gain but with the two mixed together it works great,Effective,Phenytoin,0
180,I sleep well and have a lot of energy,Effective,Phenytoin,0
181,"It has attacked not only my gums, but my entire digestive system, heart and I have a very hard time getting over 89lbs",Adverse,Phenytoin,1
182,Was recently hospitalized for the above and saw a specialist who said that I will have to start taking something else,Adverse,Phenytoin,1
183,I have taken Dilantin for just on 30 years I have just had major gum surgery as my gums had become very infected and had over growen the teeth,Adverse,Phenytoin,1
184,the pharmacy gave me 3 full bottles of Phenytek and I took 900mg for 4 days and got dilantin toxicity overdose and it was that easy to ruin my life,Adverse,Phenytoin,1
185,I haven't slept in a week and the long term damage was done by the 2nd day,Adverse,Phenytoin,1
186,my legs are killing me and are restless,Adverse,Phenytoin,1
187,the pains are non stop,Adverse,Phenytoin,1
188,my headache is never getting better,Ineffective,Phenytoin,2
189,too easy to do major life changing damage,Adverse,Phenytoin,1
190,I took this med during my pregnancy and had no problems like warned,Effective,Phenytoin,0
191,(It can be very hard on your liver,Adverse,Phenytoin,1
192,") I had to have my dose lowered, it got to the point that I was staggering when I walked and memory problems",Adverse,Phenytoin,1
193,I've been taking Dilantin for 14 years now because I have Epilepsy (grand mal) it does control my Siezures exceptionally well,Effective,Phenytoin,0
194,but I'm not so thrilled with the side effects,Effective,Phenytoin,0
195,"I get headaches,tiredness,insomnia,irritability at times,gum issues,feeling sluggish at times as well as forgetful among Others",Effective,Phenytoin,0
196,So if your taking Dilantin & it's working don't mess with it to see if something else will work better it's not worth it! Always be aware of how you feel while on it,Effective,Phenytoin,0
197,Ive been on Dilantin 400mg/at nite for 41 years and it has been great,Effective,Phenytoin,0
198,", no sleep, my period, poor diet",Adverse,Phenytoin,1
199,No gum/teeth problems,Effective,Phenytoin,0
200,I'd stay on Dilantin if I could but its too dangerous with Osteoporousis,Adverse,Phenytoin,1
201,My VA neurologist and the VA agreed that I would continue to receive brand name dilantin because it is a cheap and effective drug anyway The only side effect I've really noticed is that it does affect your teeth and gums and therefore I go to the dentist three times a year instead of twice a year for cleaning and exams It is a great drug and I use it in combination with generic Keppra and haven't had a seizure since July 2004,Effective,Phenytoin,0
202,Dilantin has handled my szrs,Effective,Phenytoin,0
203,"I was told dilantin can eat at bone so I had a scan done and to my surprise I have full blown osteoporosis!! (couldn't be from taking dilantin for years with NO ONE saying ANYTHING until now, AFTER the damage was done!)I have taken good care of my teeth and gums and still lost some",Adverse,Phenytoin,1
204,that might not have the side effects or stay with the dilantin that I know works on my szrs and that my body is used to,Effective,Phenytoin,0
205,These have been taken 42 years with no side effects,Effective,Phenytoin,0
206,"I have all my teeth, no swelling of gums and no bleeding",Effective,Phenytoin,0
207,To me I give it 5-star,Effective,Phenytoin,0
208,If I take the Dilantin and never miss a dose I never have a seizure,Effective,Phenytoin,0
209,I finally learned to take my medication and haven't had a seizure since I was a teenager,Effective,Phenytoin,0
210,"The side effects are several: gingivitis, macrocytosis, possible low sperm count, osteoporosis",Adverse,Phenytoin,1
211,memory loss I cannot remember much about the side affects of Phenytoin as it was such along time ago,Adverse,Phenytoin,1
212,However i have recently had an MRI and have been told i have cerebral degeneration due to Phenytoin exposure,Adverse,Phenytoin,1
213,"The reason being is the side effects, for me, are more tolerable than some of the Other meds out there",Effective,Phenytoin,0
214,"So far, it is working as well as I remember it working in the past",Effective,Phenytoin,0
215,pretty good it works for me,Effective,Phenytoin,0
216,No major side effects,Effective,Phenytoin,0
217,"""Works well for my bipolar depression",Effective,Carbamazepine,0
218,It was not necessary and diagnosed with TN,Adverse,Carbamazepine,1
219,Tegritol helped to reduce the pain to a manageble condition,Effective,Carbamazepine,0
220,But that much of medicine everyday made me feel so drowsy,Adverse,Carbamazepine,1
221,"With this for an year, The medication is reduced to half",Effective,Carbamazepine,0
222,"Now I am taking only 200 mg for 3 times! This is a good improvement in my case and want to continue the same, until I stop taking any medication to reduce my pain completely",Effective,Carbamazepine,0
223,My main medicine that held me for years was Phenobarbital,Effective,Carbamazepine,0
224,"When I started having breakthrough seizures, Tegretol was the secondary medicine that has held me okay for the past 4 years",Effective,Carbamazepine,0
225,"I tried Tegretol XR first but for me, I felt very tired, some dizziness, poor memory, and very bland",Adverse,Carbamazepine,1
226,"When the Dr switched me to regular Tegretol, it was totally opposite! I felt alive again, memory sharp, out riding horses, happy as a lark and felt like my good old self",Effective,Carbamazepine,0
227,"I was having more and more episodes of TN, and was miserable",Adverse,Carbamazepine,1
228,"Since starting the medicine, I have only had one brief episode of pain",Adverse,Carbamazepine,1
229,I have had terrible itching since I started taking it,Adverse,Carbamazepine,1
230,Hopefully the 100 mg twice a day will relieve the TN pain and not cause itching,Effective,Carbamazepine,0
231,"I am happy to try the Tegretol, because TN pain is unbearable",Effective,Carbamazepine,0
232,"Worse than any pain I've ever had (including labor, c-section pain, and oral surgery pain",Adverse,Carbamazepine,1
233,"""I was put on Tegretol 2 weeks ago, and boy or boy the build up felt like forever but now that it is at 800mgs, I am feeling so much better",Effective,Carbamazepine,0
234,"I am still having just a bit of breakthrough pain a few times a day, which is nothing compared to where I was 2 weeks ago",Ineffective,Carbamazepine,2
235,"This medicine works, and works well! I pray it doesn't stop working for me, ever!""",Effective,Carbamazepine,0
236,"""It saves me from going in a deep depression episode",Effective,Carbamazepine,0
237,"This has provided some relief, in as much the frequency of the episodes has reduced, but not the severity, which has not been attenuated in any way",Ineffective,Carbamazepine,2
238,At least I can function better than last week,Effective,Carbamazepine,0
239,It had to be combined with Keppra to finally help me obtain control of my epilepsy,Effective,Carbamazepine,0
240,"It has been very effective the past 11 years, and I have had no side effects with it",Effective,Carbamazepine,0
241,"""Works very well in stabilizing mood",Effective,Carbamazepine,0
242,"I need a very small dose twice a day, and I haven't noticed any side effects",Effective,Carbamazepine,0
243,I have been on it nearly 2 months now and I notice progress everyday,Effective,Carbamazepine,0
244,I am able to focus and accomplish tasks instead of being scattered and all over the place,Effective,Carbamazepine,0
245,"""I had shingles 10 years ago in my mouth and it developed into Trigiminal Neuropathy on th eleft side of my head",Adverse,Carbamazepine,1
246,"My toes burn terrible, My right foot feels as if it is wrapped in Plastic wrap all of the time up to my calf",Adverse,Carbamazepine,1
247,My left foot feel s the same but with my toes burning,Adverse,Carbamazepine,1
248,I finally had very little pain in my feet so I dropped from the 800 mgs a day of Tegretol to 600 mgs last Monday,Effective,Carbamazepine,0
249,"Since last MOnday, my right toes are burning constantly again, and I've had migraines caused from the Trigiminal Neuralgia",Adverse,Carbamazepine,1
250,I am DEFINITELY CONVINCED Tegretol along with Cymbalta have been my saving grace from pain,Effective,Carbamazepine,0
251,"The two, together are almost stopping my pain completely in my head AND MY FEET",Effective,Carbamazepine,0
252,It's amazing the difference and only since last MOnday,Effective,Carbamazepine,0
253,Both are great medicines,Effective,Carbamazepine,0
254,I have no noticeable side effects,Effective,Carbamazepine,0
255,I am extremely satisfied with this drug,Effective,Carbamazepine,0
256,"""Only mood stabilizer that has worked for me, I take 800 mg",Effective,Carbamazepine,0
257,"""No problems or side effects",Effective,Carbamazepine,0
258,"""I had a very good experience on Tegretol",Effective,Carbamazepine,0
259,I had no side effects and was feeling better within three days,Effective,Carbamazepine,0
260,On top of stabilizing my moods it also reduced my fibromyalgia pain by a good 90% (which also helped my mood a lot),Effective,Carbamazepine,0
261,The only reason I stopped taking it is because I'm working on becoming pregnant and it does have some nasty side effects there,Adverse,Carbamazepine,1
262,The new medicines I'm on don't work quite as well and I plan to go back on Tegretol as soon as I have a child,Effective,Carbamazepine,0
263,"""It kinda helped me in addition to my abilify, but since I have type 2 bipolar disorder, I just felt sleepy and knocked out all the time",Effective,Carbamazepine,0
264,Not the best of times,Adverse,Carbamazepine,1
265,"This medicine has been very good for me,as it takes 99% of the pain away,with 800 mg per day",Effective,Carbamazepine,0
266,"My side effect is tiredness,but I guess that is the price I have to pay for no pain",Effective,Carbamazepine,0
267,"My TN used to stop after the season changes,but now it hasn't stopped,so it's carbamazepine everyday",Effective,Carbamazepine,0
268,"""I have been taking Tegretol for a couple of years and it really helps with my bipolar",Effective,Carbamazepine,0
269,I can notice a big difference compared to if I'm not taking it,Effective,Carbamazepine,0
270,"I just don't like how it makes my head and tongue feel numb, but it's a small price to pay",Adverse,Carbamazepine,1
271,"""I found Tegretol amazing",Effective,Carbamazepine,0
272,"It made me so calm and stable even after a few days, the only issue with it is it makes me very drowsy and a little disorientated",Adverse,Carbamazepine,1
273,So if you drive a lot or operate heavy machinery or are a surgeon this is not the medication for you,Ineffective,Carbamazepine,2
274,Otherwise it is a great mood stabilizer,Effective,Carbamazepine,0
275,"""I started taking Tegretol for TN and it did greatly improve my ability to function",Effective,Carbamazepine,0
276,Pain was much duller during episodes and had stopped being totally debilitating,Effective,Carbamazepine,0
277,6-7 weeks after use I began to be so lethargic I couldn't get out of bed and was relying so much more on my husband to see to our toddler son,Adverse,Carbamazepine,1
278,It was very worrying,Adverse,Carbamazepine,1
279,"I then developed severely enlarged glands under my chin, lumps on my neck and started to feel generally unwell",Adverse,Carbamazepine,1
280,I then had a full blood count done and it returned a very low white blood and abnormal looking cells also,Adverse,Carbamazepine,1
281,Enlarged spleen also occurred,Adverse,Carbamazepine,1
282,Now being referred to haematology and had to be taken off Tegretol as they believe I am taking quite a severe reaction to it,Adverse,Carbamazepine,1
283,Didn't help much and made me nasty,Ineffective,Carbamazepine,2
284,I would go from normal to telling people off,Ineffective,Carbamazepine,2
285,"""Made me feel so ill from day 1 on just 200mg",Adverse,Carbamazepine,1
286,"Headache, pain in my neck & shoulders, dizzy, pain in my kidneys,(maybe just pain in my lower back muscles)",Adverse,Carbamazepine,1
287,Couldn't get up out of bed,Adverse,Carbamazepine,1
288,"6 days after stopping I still feel really unwell, especially when I just wake up or am tired",Adverse,Carbamazepine,1
289,Seems not getting any better after 6 days being of it,Ineffective,Carbamazepine,2
290,"""I have been taking this for over 20 years and I can't remember the last time I wasn't sleepy",Adverse,Carbamazepine,1
291,This medicine causes extreme fatigue that never goes away,Adverse,Carbamazepine,1
292,In the end I couldn't stand how it made me feel,Effective,Carbamazepine,0
293,Put on 8 pounds in just 5 days,Adverse,Carbamazepine,1
294,Blood pressure went up and I was EXHAUSTED,Adverse,Carbamazepine,1
295,"I felt very edgy lost confidence in my stride and though the pain I was experiencing did dull it began to expand to both temples, tingling on lips and hands, worst, I just didn't feel myself",Adverse,Carbamazepine,1
296,I felt both drunk and somehow so fully aware of my strange symptoms It was as though I was observing myself from a foot away,Adverse,Carbamazepine,1
297,"""I have been on 400mg once a day at night since I got diagnosed with bipolar 4 months ago and I am definitely more stable",Effective,Carbamazepine,0
298,I haven't had a manic episode since,Effective,Carbamazepine,0
299,I have had a few depressed times but not to the extent of before,Effective,Carbamazepine,0
300,Carbamazepine is definitely doing it's job at stabilizing my moods,Effective,Carbamazepine,0
301,"Tegretol made me dizzy, sleepy, and black out in random places so my doctor changed me to Carbatrol",Adverse,Carbamazepine,1
302,"It works well, but Not 100%",Effective,Carbamazepine,0
303,Over the years I've noticed its effectiveness wanes,Ineffective,Carbamazepine,2
304,Increasing the dosage causes dizziness and doesn't seem to solve the problem,Ineffective,Carbamazepine,2
305,"However I have been tried on 3 Other seizure medicines and they did not help at ALL, so I feel I have no choice but to stick with the rough journey on Carbatrol",Ineffective,Carbamazepine,2
306,"I started out with taking 300mg daily, I had mild side effects, diarrhea and headaches but they subsided fairly quickly, then my psych Dr increased it to 300mg twice a day",Adverse,Carbamazepine,1
307,It made me tired and didn't feel like doing anything for about 2 weeks,Ineffective,Carbamazepine,2
308,"I slept 12-14 hours everyday and was still tired, then it got a little bit better I guess, with time",Effective,Carbamazepine,0
309,I also think its not working so good for me anymore,Ineffective,Carbamazepine,2
310,I'm just wondering if there is anything just as effective as Carbatrol but don't have to have blood work done,Effective,Carbamazepine,0
311,"Also my moods are all over the place, one minute I'm fine and the next I have a short fuse, and the next minute I'm crying",Adverse,Carbamazepine,1
312,Lamotrigine worked for 4 months and then I was changed to Tegretol Retard which for the last 3 months has been effective,Effective,Carbamazepine,0
313,Side effets were tiredness and a rash which was treated with an antihistamine,Ineffective,Carbamazepine,2
