Review,Category,Drug
I haven't had anOther seizure yet but can't stand the side effects,Adverse,Phenytoin
I'm so dizzy and light headed,Adverse,Phenytoin
I have a hard time walking and keeping my balance,Adverse,Phenytoin
I also am having a hard time concentrating and remembering things,Adverse,Phenytoin
"""It's been only a week I am on it , reduced my anxiety, it reduced unwanted electrical activity in both hemispheres(was irritating) its life saver for me, SE : gum growth ,low vitamin d causing joint pain""",Effective,Phenytoin
"""I had my first seizure at the beginning of April",Other,Phenytoin
I was in the hospital for weeks as I had kidney failure as well,Other,Phenytoin
Only two weeks after I got out I was in my car when the second seizure struck causing me to crash,Other,Phenytoin
I wrote off my car and have my license suspended,Other,Phenytoin
I was put on Tegretol CR but the side effects were terrible so now I'm on 300mg of dilantin and haven't had a seizure since,Effective,Phenytoin
Unfortunately since my first one my sleep has been terrible,Adverse,Phenytoin
"""I have been on Dilantin for over a decade and doing really well until recently",Effective,Phenytoin
If you are experiencing troubles with the new Dilantin you may want to look at what Others are saying on the Epilepsy Foundation's forum,Other,Phenytoin
"""Took Dilantin for several years, since the 1980's",Other,Phenytoin
Now it's apparent I have a secondary disability of Osteoporosis after seeing a endocrinologist and having a bone density test done,Other,Phenytoin
My doctor says it is likely due to the regular use of epileptic medicines with Dilantin being the most likely source,Other,Phenytoin
"""It worked well in the hosptial and for a time after I left, but I developed a serious allergic reaction to it with skin rash and fever!""",Ineffective,Phenytoin
"""I found out that I had a cyst on my brain after having a seizure during football practice in college",Other,Phenytoin
Funny thing is that I had been playing football since I had been in the sixth grade and never new anything,Other,Phenytoin
"Before any CT scan or MRI was performed, it was thought that the seizure was a result from contact while playing",Other,Phenytoin
"After test were conducted, apparently the cyst was a result of spinal meningitis from my childhood",Other,Phenytoin
"I'm not a doctor nor do I understanding everything but never the less, I was placed on Dilantin",Other,Phenytoin
It took about six months to regulate my dosage of 500 mg per day,Other,Phenytoin
I have now been on Dilantin for 28 years and have never had a seizure while taking my meds correctly,Effective,Phenytoin
"Football was over but, I live great life with Dilantin",Effective,Phenytoin
"""I had my first ever seizure on 8/4/93; one day before my 24th birthday, out of the 'clear blue",Other,Phenytoin
I was first prescribed 400mg of Dilantin daily,Other,Phenytoin
"I experienced muscle spasms/twitches, sleeplessness at night [and] sleepiness during my waking hours",Adverse,Phenytoin
I was switched to 400mg of Phenytek daily,Other,Phenytoin
"At first the same symptoms persisted, but subsided over time",Effective,Phenytoin
"I have been on both Dilantin and Phenytek for 22 years; currently on Phenytek and my seizures are controlled, with minor/minimal side effects; occasional muscle twitching and/or headaches remedied with Tylenol",Effective,Phenytoin
"I hold down a full-time job, and I drive, so my #1 priority every night is to take my meds",Other,Phenytoin
"So far, so good",Effective,Phenytoin
"""I've been taking this medicine for years",Other,Phenytoin
I was having difficulties keeping my medicine levels in the proper zone,Other,Phenytoin
The extended release has been great,Effective,Phenytoin
I'm in a small group of people who need their Dilantin level slightly above the 10-20 range,Other,Phenytoin
I'm able to stay at 20-22 with the proper dosages that have been prescribed for me,Effective,Phenytoin
I cannot take the generic brand,Other,Phenytoin
"When I was on the generic, my levels were not as stable",Ineffective,Phenytoin
"""I experienced Stevens Johnson Syndrome when I first started taking this drug",Adverse,Phenytoin
It took 3 months of high doses of prednisone to recover,Effective,Phenytoin
"""I am 31 years old and have been taking dilantin since I was 14 years old",Other,Phenytoin
It works very well for me and the only time I ever had any complications is when I have gone more than 1 day without taking it,Effective,Phenytoin
I suggest a days of the week pill holder to anybody that has a problem remembering to take their meds,Other,Phenytoin
"""I've been on Dilantin a short while",Other,Phenytoin
First month was fine,Effective,Phenytoin
"5th week I started getting low grade fevers, nausea, pinprick rashes, slightly swollen gums",Adverse,Phenytoin
"6th week my gums were very swollen, so much that it hurts to eat and talk",Adverse,Phenytoin
"No sex drive for who knows how long, acne like I've never had before, vasodilation to the point of my entire body being red and feeling extremely hot - 98 degrees temperature, compared to a normal 80 - 85",Adverse,Phenytoin
"I haven't had any seizures, but I'm miserable, so I'm titrating down and will try something else",Effective,Phenytoin
"""I've been on Dilantin for about 20 years and it works for me",Effective,Phenytoin
"""Works fast and was effective for me, but the side effects left me in never-never land",Adverse,Phenytoin
"Could not think straight, had no short-term memory, was dizzy, and had no sense of time",Adverse,Phenytoin
Good Luck and keep trying till you find one that works for you,Other,Phenytoin
"""I'm 52 years old and had a Grand Mal 4 years ago and have been taking Dilantin since without incidence",Effective,Phenytoin
No side effects,Effective,Phenytoin
The medicine is effective and relatively affordable,Effective,Phenytoin
"""My doctor prescribed Dilantin for anxiety and depression",Other,Phenytoin
It seems to work just about 60 to 70% of the time for both conditions,Effective,Phenytoin
Other times I can't really tell the difference,Other,Phenytoin
I use 1 or 2 - 100 mg Capsule(s) a day or only as needed,Other,Phenytoin
I like that it is not habit forming and tolerance is not built up,Other,Phenytoin
"Side effects need to be looked at, although I don't experience any serious Adverse effects",Effective,Phenytoin
Extra Vitamin B-12 and Folic Acid needs to be taken while taking Dilantin because it may cause a deficiency with these nutrients,Other,Phenytoin
"""I've been on Dilantin since 1979 and have not had any issues or seizures",Effective,Phenytoin
"""I have been taking Dilantin to control grand mal seizures for about 16 years now",Other,Phenytoin
It works very well for me,Effective,Phenytoin
"However, I recently learned that prolonged use can result in a higher risk of osteoporosis",Other,Phenytoin
"Since women in my family three generations back have all had this condition, I'm now concerned about my bones and the continuation of this medication",Other,Phenytoin
"""This medication was prescribed to me as a 37 year old cancer patient due to having suffered 3 seizures over the summer all of them grand mal seizures",Other,Phenytoin
Presently taking this medication without side effects (aside from being a bit slow in action),Effective,Phenytoin
"""I was on Dilantin (300 mg per day) over 20 years of my Air Force career with no side effects and no seizures",Effective,Phenytoin
I was unknowingly switched to a generic brand and immediately began having seizures,Ineffective,Phenytoin
"Attempts to use compensate with Trileptal, Keppra, Vimpat, etc",Other,Phenytoin
did not completely remove my seizures like Dilantin,Ineffective,Phenytoin
My neurologist is transiting me back to brand name Dilantin so my insurance will cover the cost,Other,Phenytoin
"""Stops the pain but makes me too dizzy to function",Adverse,Phenytoin
My doctor also doesn't like the long term effects on the cerebellum,Other,Phenytoin
"""I have been on this medication for years",Other,Phenytoin
I do not take it on a daily basis,Other,Phenytoin
When pain pills do not work so good I take a Dilantin to help stop the pain,Effective,Phenytoin
I have found if you take any of the medications for this disorder your body gets used to it and have to up the dose,Other,Phenytoin
I also take Ativan at night if I am not able to sleep because of pain and do not take it every night because my body will get used to it,Other,Phenytoin
This is the worst thing I think a person can get and have to live with because it is like getting beat in the face everyday all day long,Other,Phenytoin
Oh and do not have your tooth pulled thinking it will get better,Other,Phenytoin
because I have pulled all mine and still have the same pain,Ineffective,Phenytoin
"""Brain rot",Adverse,Phenytoin
I have been on dilantin for over 40 years,Other,Phenytoin
"Have just discovered dilantin is cause to numbness in legs, feet, balance and walking control",Adverse,Phenytoin
How so,Other,Phenytoin
""" It's called cerebellum atrophy",Other,Phenytoin
"Thats where your cerebellum shrinks (my case about 40%) 
 It will get worse if I continue to take it, putting me in a wheel chair",Adverse,Phenytoin
Only one medicine does that to you- Dilantin,Other,Phenytoin
DO NOT TAKE IT,Other,Phenytoin
"If you are on it, get off it (as I am about to do) It was also considered at one time the most toxic medicine out there",Other,Phenytoin
Look it up in PDR,Other,Phenytoin
Did it stop seizures,Other,Phenytoin
yes,Other,Phenytoin
Do I want to be a cripple and eventually have to be fed,Other,Phenytoin
No,Other,Phenytoin
Get off it,Other,Phenytoin
"""Been taking Dilantin for 36 yrs",Other,Phenytoin
Had a gran mal seizure,Other,Phenytoin
As long as I take medicine things are good,Effective,Phenytoin
"Side effects are eyes sensitive to bright sunshine, gums swell, get tired quicker",Adverse,Phenytoin
Has improved quality of life,Effective,Phenytoin
"""I have ben taking this various doses of Dilantin for over 40 years",Other,Phenytoin
"Although not perfect, it controls my seizures well",Effective,Phenytoin
"However, since menopause I have noticed a gradual increase of phenotin levels in my blood and therefore need to have regular checks",Adverse,Phenytoin
It is difficult to know whether I am under-dosed or over-dosed as my symptoms are similar for both,Other,Phenytoin
"""I am taking Dilantin and Tegretol, for trigeminal neuralgia, I had what they called breakthrough pain and that was my Neurologist put me on Dilantin",Other,Phenytoin
"I have been on both for close to a year or so now, but I am finding out that I seem to be reacting both or one but I do not know which one I am reacting to",Other,Phenytoin
The pain is gone but I am fighting with the side effects of which drug I am unsure as they ave similar side effects,Effective,Phenytoin
"""I have been using dilantin for my epilesy for about 38 years now, it has been an excellent drug that has been used Other than the swelling of the gums",Effective,Phenytoin
"I have also had 3 children, which our doctors in our town freaked out about while being on medicine",Other,Phenytoin
I think they were very happy when the pregnancy ended,Other,Phenytoin
But my babies were all healthy babies and I did breast feed,Other,Phenytoin
"""I think I might be allergic to this medicine as I had the hives in the evening from my scalp down",Other,Phenytoin
"""I am on 300 mgs of Dilantin one day and 400 mg the next day",Other,Phenytoin
"Unfortunately, the day I take 400 mg I do not get the full sound sleep at night",Ineffective,Phenytoin
What are the experiences of Others,Other,Phenytoin
"""It was okay, I took it for 15 years then they changed it 2 years ago and I cannot take it anymore",Ineffective,Phenytoin
"""After back to back tonic-clonic(grand-mal) seizures in 1989, I was put on Dilantin",Other,Phenytoin
"With differing insurance programs, many times generic forms of it had to be used",Other,Phenytoin
"A year back, although on 400 mg gram of phenytoin was still having problems",Adverse,Phenytoin
"Since then, have been returned to Dilantin and reduction to 300mg per day",Other,Phenytoin
"With this reduction, the blood tests are running high",Other,Phenytoin
"However, some seizures still exist, but no massive seizures or complete blackouts are present",Effective,Phenytoin
"To handle mental recall problems, was put on strattera, years ago",Other,Phenytoin
The combination of Dilantin and straterra has improved my communication abilities,Effective,Phenytoin
The original difficulties were courtesy of brain damage due to an auto accident,Other,Phenytoin
The brain damage created the epilepsy and aphasia,Other,Phenytoin
"""I had my first grand-mal seizure out of the blue at 26yrs of age 39 years ago! Dilantin has kept me free from seizures when I have remembered to take the medication",Effective,Phenytoin
Over the years I have had several Other seizures but only due to neglecting to take the tablets,Other,Phenytoin
I am on 330mg per day (130mg in the morning and 300mg in the evening),Other,Phenytoin
"I am very thankful to God for Dilantin! I do have a real tendency to be always tired and swollen gums, but Otherwise no Other side-effects",Effective,Phenytoin
"""Now I'm almost seizure free",Effective,Phenytoin
"""I have been on this medicine for almosy 6 years",Other,Phenytoin
I have not had any side effects as of yet,Effective,Phenytoin
I am monitored by my doctor every 6 months,Other,Phenytoin
This medicine has changed my life I was not able to do things such as drvie or even work,Effective,Phenytoin
Since on the meds I have been seizure free and living my life,Effective,Phenytoin
"""Has anyone taking dilantin ever experienced nipple tenderness",Other,Phenytoin
I have only been taking it for a month at 200mg qhs,Other,Phenytoin
All of the sudden a few days ago both nipples started to increase in tenderness and I have not ever experienced this,Adverse,Phenytoin
I am a 31 year old female with multiple diagnosis and was just hoping for someone to talk to,Other,Phenytoin
Thanks,Other,Phenytoin
"""I have had good but not great response with Dilantin",Effective,Phenytoin
The medicine helps to reduce my seizures significantly but the side effects are not fun,Effective,Phenytoin
"I experience shaking hands, anxiety, and being very klutzy and forgetful",Adverse,Phenytoin
"I have been on the medication for just over nine years and the seizures have slowed, but even on the treatment I'll still experience grand mals that are significant; but not as bad as they used to be",Effective,Phenytoin
"I was just wondering what the real long term effects are, and what to look out for",Other,Phenytoin
"""I had an appointment with the neurologist who at the time deciding to put me on Dilantin and in two weeks I started bloating I figured it was stress over knowing that your GF of my life has to move back to Brasil just because it is a law and marriage was not legal",Adverse,Phenytoin
I didn't care that I was bloating and the rash I called and went back to show the nurse,Other,Phenytoin
It was only on my torso and didn't itch,Other,Phenytoin
So I stayed out late dancing with her and our friends and crashed around 3am,Other,Phenytoin
At 9am my entire body looked like I had blue and red tiny looking bruises and they weren't itchy but I all of a sudden said to my friend after dropping my GF at the airport,Other,Phenytoin
"""I need a hospital please drive me",Other,Phenytoin
I'm feeling really bad and I had no idea what I was in for,Other,Phenytoin
"STS""",Other,Phenytoin
"""Side effects- over 5 years losing hair but I take it 3 times a day with Other medication for Multiple Sclerosis",Adverse,Phenytoin
"""I am a 47 year old male with seizure disorder/Epilepsy",Other,Phenytoin
I had my first Grand Mal seizure at 28,Other,Phenytoin
Since then I have been taking Dilantin 100mg 3 times a day,Other,Phenytoin
"At first (the first 3 months I experienced unbearable side effects lightheadedness, etc",Adverse,Phenytoin
) so my doctor changed me to Keppra,Other,Phenytoin
The cost of Keppra was way to expensive so I went back on Dilantin,Other,Phenytoin
After several more months my body got used to it and I started having zero side effects,Effective,Phenytoin
After taking it now for 19 years I NEVER have seizures whatsoever but I never miss a dose,Effective,Phenytoin
100 mg 3 times a day,Other,Phenytoin
I think it is a wonderful medicine and is very inexpensive,Effective,Phenytoin
"""I have been using dilantin since I was 15 years old and have had no side affects",Effective,Phenytoin
I am 42 years old now,Other,Phenytoin
I thank god because I have grown out of most of my seizures,Effective,Phenytoin
"""I have been taking Dilantin since late 1991",Other,Phenytoin
Started off at 300mg nightly and was increased over time to 400mg when fits became more severe anf frequent,Other,Phenytoin
"While pregnant with my 3rd child in 2007, dose was increased to 500mg nightly",Other,Phenytoin
This dose was never dropped back after pregnancy ended,Other,Phenytoin
"In June 2011, I underwent brain surgery to have the scarring causing my fits removed",Other,Phenytoin
"So far, it has been successful",Effective,Phenytoin
"At 22, I had 2 lumps removed from my left breast, which thankfully turned out to be non-cancerous",Other,Phenytoin
"But after finding a very noticeable lump in my left breast this year, I had a mammogram",Other,Phenytoin
"The nurse found 22 lumps in total in both breasts! My GP is not concerned and tells me they are just little oil sacks, but lump is not shrinking",Other,Phenytoin
"""I've been taking 3 100mg Dilantin Kapseals since 1985 and it seems I am fine",Effective,Phenytoin
Never again a seizure,Effective,Phenytoin
My health care plan informs me that these are no longer made,Other,Phenytoin
They are prescribing generic phenytoin as similar,Other,Phenytoin
I'd understood the generic were not quite as good,Ineffective,Phenytoin
Perhaps due to the fact they must be taken three times a day,Other,Phenytoin
"""I took dilantin to control grand mal seizures for close to forty years",Other,Phenytoin
It worked fairly well for me but is caused peripheral neuropathy in my feet and I had to change to Neurontin which has worked just as well,Other,Phenytoin
This Adverse reaction was not mentioned to me until it was too late and the nerve damage is irreversible,Adverse,Phenytoin
"""Very effective for Trigeminal Neuralgia for past 2 years at 500mg daily",Effective,Phenytoin
"Not so great now, so I must have built tolerance to it, as I'm having daily bouts of pain again",Ineffective,Phenytoin
"""It is a miracle drug and it works fantastically",Effective,Phenytoin
"""The first 3-4 days made me a bit groggy immediately after taking it, I couldn't drive",Adverse,Phenytoin
"Within a week, I adjusted quickly",Effective,Phenytoin
"""I was diagnosed with epilepsy at the age of 8 years old, I was put on Dilantin",Other,Phenytoin
"When I was 65, my neurologist changed my meds 3 or 4 times and I am now on Keppra twice a day with phenobarbatol at night",Other,Phenytoin
"I haven't had a problem in 6 years, but I developed neuropathy which is a real pain",Adverse,Phenytoin
It makes me have balance problems,Adverse,Phenytoin
"""After about 8 days of being on Dilantin, I had a horrible allergic reaction",Adverse,Phenytoin
I woke up at like 4:30 with unbearably itchy hives that literally covered my whole body,Adverse,Phenytoin
"face, shoulders, chest, stomach, back, buttocks & legs",Adverse,Phenytoin
"even on the backs of my hands and feet, with a few spots on the palm of my hand",Adverse,Phenytoin
"It sucked, needless to say",Adverse,Phenytoin
"It also made me really tired all day, even though I'd take it at night",Adverse,Phenytoin
I'm now starting on KEPPRA,Other,Phenytoin
Hope it works,Other,Phenytoin
"""I had my dosage increased 100 mg last year to 400 mg/day, and noticed an increase in side effects",Adverse,Phenytoin
"My short term memory is awful, especially with names",Adverse,Phenytoin
"I've also noticed mood swings, weight gain, and sensitivity have increased, and I'm still having seizures",Adverse,Phenytoin
It appears it's not the drug for me,Ineffective,Phenytoin
"""I have tried several anti-convulsant medicines, even, had combinations before",Other,Phenytoin
Dilantin provides better result for me among all,Effective,Phenytoin
"There were few false side effects like rashes, constipations, nausea and dizziness but it really depends on what you have eaten",Adverse,Phenytoin
Just make sure that you get a regular dilantin assay for your safety,Other,Phenytoin
"I think, it really depends on what kind of seizure and how your body reacts to medicines",Other,Phenytoin
"""I've been taking phenytoin for the past 8 months now as I had a bleed on the brain that caused me to fit",Other,Phenytoin
I've noticed that it's stopped me from having a seizure since the day I fitted,Effective,Phenytoin
"But ever since I've been feeling weak can't remember things from day to day and can't remember what I done like 10mins ago, I'm taking 300mg every night and I feel spaced out every day and can't be bOthered doing anything I'm only 22",Adverse,Phenytoin
"""I was 34 years old before being diagnosed with rare epilepsy",Other,Phenytoin
I have seizures 1/16 of a second out of every minute,Other,Phenytoin
"I knew nothing about this disease, my doctor tried many therapy plans",Other,Phenytoin
I finally had to go into hospital - there I got dilantin through a drip,Other,Phenytoin
I told my doctor it seemed be working,Effective,Phenytoin
I have been taking 10 a day ever since,Other,Phenytoin
Thanks it has made my quality of life much better,Effective,Phenytoin
"""Had grand mal and was prescribed Phenytoin slowly upping dose from 100x3 to 100x6",Other,Phenytoin
I was considered under controlled status even having 1-3 seizure (partial complex)not during month but all same day,Other,Phenytoin
Checking blood levels everything seems good,Other,Phenytoin
Doc says probably female hormones causing imbalance,Other,Phenytoin
"Seems I have some side effects like confusion, short term memory issues, can't stand metal in my mouth like silverware it's a weird feeling, insomnia",Adverse,Phenytoin
"Well, next script is different manufacturer",Other,Phenytoin
"I never thought it would be such a big deal but I started to feel high/intoxicated (not fun) blurry vision, skin tone is changing, swollen gums, tingling in face arms hands legs and feet along with slight numbness, feel unbalance",Adverse,Phenytoin
"""I started dilantin in 1974",Other,Phenytoin
About 25 years of taking it has given me peripheral neuropathy,Adverse,Phenytoin
No Dr in all those years told me that it might do this to me,Other,Phenytoin
I am changing over to Keppra but the damage is done,Adverse,Phenytoin
My balance is off and for PAIN I take lyrica,Adverse,Phenytoin
"If dilantin works for that's great, but we should be informed that neuropathy might happen",Other,Phenytoin
"""Have been on Dilantin for 15 years",Other,Phenytoin
"After having a major seizure that was life threatening, I have had only one minor seizure 13 years ago",Other,Phenytoin
Very dedicated to the medication and don't miss doses,Effective,Phenytoin
I am now 73 and doing fantastic,Effective,Phenytoin
Won't change but I do watch my level and know when it is high or low,Other,Phenytoin
"""My 6 year old son suffered seizures for over a year until Doctor gave him Dilantin in the hospital",Effective,Phenytoin
No more seizures after the first dose,Effective,Phenytoin
It's been 2 years now,Other,Phenytoin
Dilantin was a life changing medicine for us,Effective,Phenytoin
"""I've been on dilantin for about 4 years now",Other,Phenytoin
I'm taking 900mg per day,Other,Phenytoin
I experience tingling / numbness in hands and fingers,Adverse,Phenytoin
"I get many more ingrown hairs on face and in public area, vertigo but not as bad as first 6 months of taking",Adverse,Phenytoin
I continue to have seizures but frequency is average of 1 ever couple of months,Ineffective,Phenytoin
I'm taking Dilantin in combination with Other drugs for seizures which have changed,Effective,Phenytoin
Dilantin has been the one which stays constant,Other,Phenytoin
"""I have been taking Dilantin for about 29 years now and tried every seizure medicine under the sun",Other,Phenytoin
"No Other medicine controls the seizures like Dilantin, or its generic",Effective,Phenytoin
"""I have been taking dilantin for 3 weeks now and I have experienced most of the side effects including the more serious ones such as fever, hives, loss of balance and swollen, very tender gums",Adverse,Phenytoin
"I went to emergency 2 nights ago with skin rashes, painful gums and painful eyes",Adverse,Phenytoin
The doctor checked my blood and dilantin levels and said it was completely normal,Other,Phenytoin
She told me to take benadryl as it was an allergy to something else,Other,Phenytoin
I still believe it might be an allergy to dilantin,Other,Phenytoin
"""It does do a good job, but I also take Depakote( 4,000mg) with Dilantin(500mg) and I still have seizures",Ineffective,Phenytoin
"The less active I am, the fewer seizures (grand mal)",Other,Phenytoin
"""I have had seizures for 40 years",Other,Phenytoin
I started on Dilantin and phenobarbital,Other,Phenytoin
"I had breakthroughs with petit mal seizures, but my grand mals were controlled",Effective,Phenytoin
When I became pregnant they stopped the phenobarbitol and started me on tegretol,Other,Phenytoin
"I had more seizures, petit mal and partial complex",Adverse,Phenytoin
Finally a new doctor started me on phenobarbital again with the Dilantin and Tegretol and I rarely have any seizures,Effective,Phenytoin
When I do they are only petit mal and last only a minute or so,Effective,Phenytoin
"""I began having focal seizures in 2011, not knowing what was going on, I wasn't diagnosed until 2013 after my first Grand Mal",Other,Phenytoin
Began taking Dilantin 500 mg per day,Other,Phenytoin
"Seizures were much better, but my memory is completely shot, sex drive is null and I am way more easily agitated",Adverse,Phenytoin
If I miss a dose I will generally have a focal seizure,Other,Phenytoin
"Doctor wants to add Keppra, but I am a little scared because of the depression possibility",Other,Phenytoin
I have withdrawn from friends a little already and do not need to add to that,Other,Phenytoin
Plus when I took it last week I was in bed exhausted at 7:30 for no apparent reason,Adverse,Phenytoin
"""I have taken phenytoin for nearly 3 years",Other,Phenytoin
I am now on 500mg which does concern me even though it controls my seizures really well,Effective,Phenytoin
"So far I have swollen gums and some memory and motivation problem, although I am 58 so that might account for that",Adverse,Phenytoin
"""I have been taking Dilantin for a few months now for both Petit-mal and Grand-mal seizures",Other,Phenytoin
I have experience all of the side effects from the medication,Adverse,Phenytoin
My lymph nodes are swollen and very painful,Adverse,Phenytoin
It is making it difficult to talk,Adverse,Phenytoin
my whole face and neck are swollen as well,Adverse,Phenytoin
I have had painful headaches since two weeks after I started taking the medication,Adverse,Phenytoin
I have also had a fever for the past month around 99 degrees to 100 degrees,Adverse,Phenytoin
"This medication works for Other members of my family, but it does not work for me",Ineffective,Phenytoin
"""Other than some short-term memory issues, I've had no complaints with this medicine Other than when my Dr",Effective,Phenytoin
adjusts my dose to where he thinks it should be and not what works for me,Other,Phenytoin
"I'm currently on 400mg daily, 200mg in the morning & 200mg at dinner time",Other,Phenytoin
I'm also maxed on my Keppra so this is 2 supplement the additional help needed 2 control seizures after a brain cancer surgery,Other,Phenytoin
"I am though drowsy a lot but when I get to the suggested range between 10-20 measurement I have seizures all to often, I'll stick with the drowsiness!""",Ineffective,Phenytoin
"""This medicine has some rough side effects",Adverse,Phenytoin
"""I am 37 years old and was diagnosed with epilepsy 5 weeks ago",Other,Phenytoin
I was put on the phenytoin capsules and take 300 mg at bedtime (which I take faithfully),Other,Phenytoin
"Lately I've noticed my energy level has increased and I haven't had a seizure in 8 days, but I notice I wake up with a headache mostly to the back of my head",Effective,Phenytoin
I also have been having so really weird dreams,Other,Phenytoin
It is 3 in the morning here and of course I awoke with a headache and a slightly stiffer neck,Adverse,Phenytoin
"""After 4 known grand mal seizures, my doctor put me on phenytoin 2 months ago",Other,Phenytoin
"Do not have to many complaints except my head feels like something is crawling in it sometimes, forgetting things, like common names for things, peoples names and being tired",Effective,Phenytoin
"I am 48 yrs old, never would take aspirin but want to be safe for myself and Others",Other,Phenytoin
My last seizure,Other,Phenytoin
there was no tell tale sign before and I was just moments from getting into my car,Other,Phenytoin
"""Started on this med with phenob at age 12 due to grandmal seizure Seizures stopped at age 16 but I am now 70 with no seizures since",Effective,Phenytoin
total of 58 years,Other,Phenytoin
Its 100 three times a day with phonobarb 30 three times a day,Other,Phenytoin
Had sore gums that rotted my teeth,Adverse,Phenytoin
Low b12 levels and low iron over time,Other,Phenytoin
"I take B12 monthly, folic acid 5mg every second day",Other,Phenytoin
Small price to pay for no seizures for 58 years,Effective,Phenytoin
"""I am a 26 year old female who has neuropathy throughout her entire body (happened following surgery likely due to anesthesia, awful!)",Other,Phenytoin
"I have bad reactions to seizure medicines, this one being the worst- along with Trileptal",Adverse,Phenytoin
This made me a complete lunatic,Adverse,Phenytoin
"I was anti social, scared to be around anyone but my mOther, had a migraine for 3 days while taking, was angry- an absolute monster",Other,Phenytoin
"If you are a female and younger in age, I would suggest trying this medication with a good support system (mOther or significant Other) who can be with you at all times just in case you react like I did",Other,Phenytoin
"""It made me very sick",Adverse,Phenytoin
It caused a reaction of large hives and made me throw up,Adverse,Phenytoin
"""After 41+years on various meds many included this one",Other,Phenytoin
"Unfortunately, it must be monitored closely and depending on factors like body weight, Other meds taken, caffeine intake, and more, it can be a difficult balancing act",Other,Phenytoin
Dilantin toxicity has happened and is a living hell for all,Adverse,Phenytoin
"The med can be good to stop nocturnal tonic clonics if you are having those, which are life-threatening",Effective,Phenytoin
"Do your research, make sure dilantin levels are taken periodically at trough and consider more than just the 20 max if you take a does afterward",Other,Phenytoin
Make sure you have a liver profile taken periodically,Other,Phenytoin
A doc may have to be reminded but it's best to have one who knows meds and does bloodwork regularly,Other,Phenytoin
Find a good epileptologist you get along with,Other,Phenytoin
"""In 1981 I have had my first seizures",Other,Phenytoin
These were diagnosed as epilepsy,Other,Phenytoin
My neurologist put me on Dilantin,Other,Phenytoin
"However, I got some side-effects dizziness, etc",Adverse,Phenytoin
"Later on, I have no seizures for more than 8 years where anOther doctor decreased the dose to 2 tablets a day",Effective,Phenytoin
"After which, there were no more side-effects",Effective,Phenytoin
I was seizure-free for more than 20 years now,Effective,Phenytoin
Though I've got some backaches and I've developed osteoarthritis,Adverse,Phenytoin
"""I have taking dilantin since I was 13 years old, now I am 66 years old",Other,Phenytoin
"I take 360mg at night, I haven't had a seizure (grand mal) for 33 years now, I get headaches sometimes (MIGRAINE), I sleep good, I am an active type person, I swim, ride a bike, go to the gym 3 times a week",Effective,Phenytoin
