Review,Category
"Nothing! Terrible pain, I wanted to chop my head",Adverse
The pain had me in tears crying out,Adverse
After 5 days I could breathe again with only a ache,Effective
"""Caused extreme painful headaches, which did not respond to painkillers",Adverse
"""For effectiveness in my case, this medicine gets a 1",Ineffective
"For keeping me manic the entire time it was prescribed, it gets a 10",Ineffective
My bipolar mania even seemed to be triggered and brought on originally from this,Adverse
"For the most part, the mania was of the more pleasant and euphoric type, rather than the agitated and awful one",Effective
"It worked effectively on my late mother, but just kept me artificially happy",Effective
"I am now 2 months with Tegretol, out of bed and am enjoying life like never before",Effective
It has been a miracle for me,Effective
"This medicine has helped me SO much, and I would not have been able to live without it!""",Effective
"""Dizziness for a couple of days as I adjusted to it then again had dizziness for a couple of days as dosage was later increased to 1200mg per day",Ineffective
"Slept well, but was tired early and required going to bed about an hour earlier",Adverse
Unfortunately it did not eliminate all seizures,Ineffective
Had several absence seizures requiring that I change medication,Ineffective
Before this I started with abylify and it did not help me,Ineffective
I feel much more normal than before and I don't feel like I am going up or down anymore,Effective
"""This medicine has given nothing but trouble",Adverse
"Headache, Feeling sick and worse of all I now have a very itchy rash all over my body which is driving me round the bend",Adverse
"""TN came on gradual over a period of time, initially short attacks lasting only a few seconds prompted by face movement such as eating or talking",Adverse
"I didn't go for some time and attacks got worse, lasting longer and incapacitating in intensity",Adverse
No side effects from tegrotol but pain returns almost instantly should I miss my medication,Ineffective
"I still have episodes of pain a couple times a day, but at least I can walk around, talk and eat without the excruciating pain I had been experiencing",Effective
"Only downside is I feel like a zombie - tired, and ""out of it"" - but like others have said - I'd take that any day over the near constant pain I was having",Effective
a little over a week ago I experienced the most painful shock/stab that was off the charts,Adverse
"It hit me on my right side, my lip gum, nose, nasal passage and spread out into my cheek",Adverse
It kept striking me and got worse and worse,Adverse
It left me the same way it came,Ineffective
I regret telling everyone how wonderful it was working,Ineffective
"The last 2 few days I've had 1 small shock a day, I've started to feel pain in my nasal passage",Adverse
I'm worried the meds going to stop working,Ineffective
"""As I have been on this medication for quite some time for my non-epileptic tonic clonic seizures, I have seen a general increase in quality of life with a couple caveats",Effective
"One: I have short term memory problems as per one of the side effects, and two: I basically drink nothing but caffeinated drinks in order to prevent !myself from sleeping all day, like for instance, I slept 11 hours last night (I know) but I'm only 10 hours into my day and I've already passed out twice and am still tired",Adverse
"""I became very ill shortly after starting the medication",Effective
"Unbearable itching as well as yellow jaundice dark urine as well as feeling very unwell""",Adverse
"""Caused me to be very drowsy all of the time, sleeping about 16 hours every night and I developed an itchy rash of red pimple-like bumps on my scalp and neckline and middle of my back after taking it for a few days",Adverse
"""I have tried so many medications for my illnesses but nothing worked until I was put on carbamazepine, it worked wonders",Effective
I was really dizzy for awhile but once I adjusted to it i feel great,Effective
"Best i ever tried""",Effective
"I have taken regular Tegretol in the past, but didn't like it because of the side effects with fatigue, confusion, and memory loss",Adverse
"I have been on Tegretol XR for the last five and a half months, and have been very pleased",Effective
The side effects seem to be much less and allow me to function much more normally,Effective
Did start 100mg Carbamazapine in the morning but had problems with vision and balance so decided against it,Adverse
Drugs working ok,Effective
"I will never make that mistake again, the 1st day I started them again, I was a ball of tears, very sad and tired, but a day later I'm back to my old happy self",Effective
"The first week I felt almost pain-free, but since have been in constant pain",Ineffective
"It does not seem to work for me at all now!""",Ineffective
My Neurologist prescribed my medicine over the phone and it relieved my pain within hours,Effective
Only side effect is that it makes me drowsy,Adverse
4 weeks just went up to 600 mgs and dont like the side affects stopping it as of today,Adverse
"""I do feel that this medication works, regular blood work to check levels in the blood are crucial",Ineffective
"It worked better back then, I do have an appointment with a psychiatrist to go over the mediaction as I do not feel that it is working as good as it used to",Ineffective
"""Stoped the pain of trigeminal neuralgia",Effective
"Side effects like unsteadyness, fingers twitching, sore joints, seeing aura's, reading difficulties, speaking difficulties",Adverse
She has had a really good tolerance for this drug with very few side effects and an amazing cut back to her seizures,Effective
I prefer this drug to any of the other's she has tried,Effective
Tegretol has been really good for her so far,Effective
"""made me extremely sleepy, I would wake up in strange places i",Adverse
Most importantly it didn't help with nerve pain in my feet at all,Ineffective
"I quickly dropped from 130lb to 106 lbs as I was unable to eat/drink
severe nausea
terrible pain, right side
unable to speak
delirious
forgetful 
seizures 1st time in decades
unable to care for my husband/self
Had to place my husband in a care facility which was the saddest thing! 
Lost my drivers license for 6 months due to a seizures so then couldn't visit my husband/get food",Adverse
"Had Walker even though I am young!
I blame much of this on the Dr who did not listen to me as I described my extreme changes via phone caused by Keppra",Adverse
"They tried to put me on Tegretol and other anticonvulsants, but I can't tolerate it",Ineffective
The pain went away like magic from the first pill but the side effects were unbearable,Effective
I get a horrific state of agitation that lasts for many hours,Adverse
"""Found it ineffective for facial spasms",Ineffective
I believe other dystonia sufferers have had some relief with this but I was not one of them,Ineffective
"""This is the ONLY thing that has worked for me",Effective
"I was diagnosed with a 'nonspecified mood disorder', feeling totally out of control, no concentration, extremely irritable, suicidally depressed, angry, extremely everything, you name it",Adverse
This medication gives me NO side effects and just took away my 'craziness' it changed my life,Effective
"""No help at all did not work""",Ineffective
"So far I've had probably 9 or 10 ""episodes"" of pain and instead of what I can only compare to contractions (I've had 3 natural childbirths), the pain is now about a 6/10 vice 10/10",Effective
"the pain has gone from mild, one episode a day to intense, excruciating, balled up on the couch crying every hour bad",Adverse
No it did not,Ineffective
They gradually increased dose to 300mg three times a day & this worked for approx 8 weeks,Effective
"I thought I had found the dosage that would work for me & I would be pain free forever, but no the pain returned last week & it was excruciating, could hardly eat anything",Ineffective
"I increased my dose to 400mg in the morning, 300mg in the afternoon & 400mg at night & gradually the pain has disappeared",Effective
"I use to be an extremist of note but tegretol has controlled this and what i like most its not like the other medications it does not put you on just another high or a buzz, you don't realize what it does but the people around you do",Effective
It slows you down to a more controlled state and keeps the depression down,Effective
"For me combine tegretol with healthy eating no dow etc rice starch, lots of water and gym and youll be sorted no doubt",Effective
"It halved my pain and made ""life livable"" again",Effective
dragging my feet on asking for an upped dosage since I fear it may lose its effectiveness,Ineffective
"""I have trigeminal neuralgia with debilitating shock pain running from my upper gum/lip line up across my face into my eye socket",Adverse
) it controls most of my pain,Effective
I still have touch sensitivity issues if I run my tongue over my lip too hard it sets off shocks,Ineffective
The first suggestion by my neurologist (100mg three times a day) didn't even touch the pain,Ineffective
"It was only after I kept insisting that it wasn't working, he turned me loose to trial and error, on my own with an upper limit of 1000mg per day",Ineffective
I take 1000 mg of tegretol xr and have been seizure free since 12/01,Effective
"However, the side effects of the tegretol xr(to me) are significant",Adverse
I have constant exhaustion and have trouble with my hand-eye coordination and memory,Adverse
"The tegratol helps with the pain massively, reducing it to more of and ache",Effective
p has me on a step up and and step down routine so I'm not in them long term,Ineffective
"It's working for me at the moment""",Effective
Initial ten days were extremely tough,Ineffective
very sleepy and was sleeping over 12 hours a day,Adverse
"Slowly there was some improvement but still very lethargic, struggling to concentrate, do day to day activities",Effective
The pain is down almost 70% and has given me some relief and relaxed me a bit,Effective
"""Sometimes i feel like a metallic flavor , I feel dizy and sleepy , but it's very helpful controlling my hypomaniac disorder 
Not too good controlling depression as well""",Ineffective
I was put on carbamazepine for possible epilepsy and it didn't seem to do anything - but the doctors said to just keep trying,Ineffective
"However, it continued to worsen, making my focus dip considerably, and causing my hearing to change! (I'm a musician, I could tell - it dropped a semitone down",Adverse
) Was very annoying,Ineffective
"""Began taking Tegretol in 1986 along with Epilim, had the op in 1991 and have remained on Tegretol since",Effective
Massive increase in body hair,Adverse
Most of my nails split down the centre of the nail,Adverse
"As for controlling my epilepsy can not say they really did, prior to my operation, at first all was hokey dorey, then the body seemed to get used the medication and as a result the dose increased",Ineffective
"Seizure free, thanks to the opp, although i do remain on the tablets",Effective
"""my son age 5 has used tegretol for the past 6 months for bipolar disorder - it has shown a great improvement in his mood changes and has allowed others to accept him more",Effective
if the tegretol is not given we notice a huge mood swing and rage and depression becomes more apparent,Effective
"""I took Carbamazepine for 4 days but could stand it no longer",Ineffective
"I felt very ill, had sinus pain, runny nose, headaches and feeling so ill I had to go back to bed every day",Adverse
"By day 4, I was feeling like I had 'flu and, after reading the advice leaflet, decided this medication is not for me",Ineffective
"I do react badly to a lot of medication, so it is not surprising that this one also was a no go for me",Ineffective
It would just paralyze you,Adverse
I have been on carbamazepine for about two months and it has work fantastically,Effective
"It did make me a bit sleepy and unsteady in the beginning, but that has waned and now I really do not have any side effects",Effective
I do sleep better at night than I did before I took it,Effective
"I take 2 chewable tablets, 100 mg, 2x a day and that has taken care of the pain",Effective
I have not had any episodes since I started taking it,Effective
"""Bad side effects after several months!!""",Adverse
"My head is empty and, I don't feel like myself at all",Adverse
"Feeling nauseous and, the only time I feel 'normal' is when I eat",Adverse
"This is the first mood stabiliser I've been on so, hoping I get my brain back soon or, I will definitely stop taking it",Adverse
"""I have been diagnosed with TN and was put on epilepsy tabs I have took all now but still got pain in my head I'm getting really worried about it as I can't suffer any more what to do next""",Ineffective
"""I have only taken Epitol for 3 days and thus far my experience hasn't been totally negative",Ineffective
"Yes there have been side effects, including, dizziness, confusion",Adverse
"""I have taken a lot of medicines and hated all of them or they didn't work for me",Ineffective
"This one actually works but my sex drive, well I have none now and that in turn makes me depressed so I think my doctors going to have to try something else",Adverse
"""This is the only medication that has helped me! It's great!""",Effective
"""This is totally awesome",Effective
"""I've been using this for 5 years now, no side effects",Effective
"""I have been using Tegretol for 6 months for BiPolar and I have felt happier consistently for the first time in my life",Effective
I have tried many others over 15 years and Tegretol has changed my life,Effective
"I have had no side effects! Go Tegretol!""",Effective
"Within first 24 hours of taking Tegretol, I felt amazing",Effective
"No pain, clear head etc",Effective
"A week and a half after starting the medication, I had a horrific TN episode for twenty hours",Adverse
The pain was so bad it woke me from sleeping,Adverse
"""A pharmacy replace Carbamzapine with Epitol it did NOT control my seizures, I was fearful of going out for my seizures were not controlled",Ineffective
I got my Carbamzapine and back on it my seizures are controlled totally,Effective
It is an ineffective drug,Ineffective
I don't know what I would do without this medication,Effective
It allows me to live a normal life without any pain and I have no side effects,Effective
"Sometimes my insurance asks me to use Tegretol because it's cheaper and has the same main ingredient, but I react horribly to it",Adverse
"Frankly though, I would pay out of pocket for the Carbatrol before I would use a generic",Effective
"""Doesn't totally cut my Paroxysmal Dystonia, but drops it from a 7/10 to a 3/10",Effective
If i increase the dose (800mg XR daily) the side effects are too hard to handle,Adverse
"Generally leaves me feeling a little sluggish/slow, and have found it difficult to lose weight on Tegretol",Adverse
"""Up to 800mg seems to work about once every 2nd day still in excruciating pain and it seems the medical fraternity don't give a damn",Adverse
"I found tremendous relief on Carbatrol, but developed a severe allergic reaction to it and had to be taken off it",Ineffective
"Now I take Gabapentin, and today my doctor added Lyrica and I can't seem to get any relief",Ineffective
"""I've been on Epitol for a little over 6 months and it has CHANGED my life",Effective
"I had a hard time finding a medication that didn't worsen my condition or give me weird side effects and so far, I've had NONE of that from Epitol",Ineffective
The first few weeks were a little difficult as it made me kind of tired but I quickly adapted and no longer get drowsy,Effective
(I still find it best to take it before bedtime),Effective
My depressed symptoms are all but gone and my manic spells are much more mild (though occasionally longer),Ineffective
This medicine was a God-send,Effective
I've only been on it for 3 days and so far no change,Ineffective
Not tired or dopey at all,Effective
"One thing I just recently discovered, if i'm looking down I start to get that twitch in my lip",Adverse
"""Only medicine that works for me",Effective
No side effects yet,Effective
"""This drug was pretty scary to use",Adverse
"The symptoms got worse and worse quickly, not better",Adverse
"Very dangerous for me, couldn't see right, couldn't walk safely",Adverse
Took around 2 hours the third and last time I took it to be able to see correctly,Adverse
"Very scary!""",Adverse
"""This is only medicine that works for me",Effective
"""Caused drowsiness but did depress SOME of the pain",Ineffective
My first dose started working at 400mg,Effective
And worked after a half an hour,Effective
I can not live without this medicine,Effective
Moving back and forth between doses makes my balance off and me feeling sick,Adverse
Never any side effects,Effective
"Condition greatly improved! Cannot remember my last ""attack""",Effective
"""It works!""",Effective
Have been seizure free,Effective
It has changed my life,Effective
Only side effect I've noticed is a little more tired than normal,Adverse
"Other than that good to go!""",Effective
I noticed no diffrence with the medication,Ineffective
Very good medicine with no significant side effects,Effective
"""Excruciating pain in ear since June",Adverse
I still have one a week so not controlled but gettin there with finding the right mix of meds! My side effects were tiredness and everytime I increased was major dizziness and sickness that lasted for hours after I took the pill,Adverse
I was taking 600mg of Tegretol for the last week and I developed a awful red rash and itching all over,Adverse
Keppra was the first drug and that didn't help,Ineffective
"I have been on Tegretol for 3 days now and can tell a HUUUGE difference! I have not been given the ""full blown"" Bipolar diagnose yet, I think this will need some more in depth conversations with my psychiatrist",Ineffective
"The next morning I didn't really feel any different, it was maybe in the evening or the afternoon that I noticed an improvement",Effective
"I was a lot calmer, my thoughts were gathered, this has been the case until this day",Effective
All in all I love this medication,Effective
"My doctor prescribed me Tegretol to take as needed for them about a year ago, and it has always been 100% effective",Effective
The only side effect is that it makes me very drowsy,Adverse
"""I've had TN for about 6 or so years was put on 900mg a day and that worked for a few years n duh me slowly stared taking myself off n pain got worse so Dr upped the dose 1800mg a day that worked for quite awhile then later it started coming back so did a lot of research and come across people that did the cyberknife treatment and no referral and they got me in right away for first appt and did MRI and CT and they made a mask and two weeks later I had it done I'm just a few days out since treatment and they pain will get less n less after a month or so, so I'm hopeful, the other comments said they have been pain free after the nerve started to die with a slight numbness n I can deal with that verses pain I'm hoping they find a cure""",Adverse
"i HAVE TAKEN EVERYTHING THERE IS TO TAKE, NOTHING WORKED EXCEPT FOR TEGRETOL",Effective
I HAVE NOT HAD ONE SEIZURE FOR THREE (3) YEARS NOW,Effective
"WOW, OH WHAT A FEELING!""",Effective
What a terrible experience,Adverse
Only 4 days into it and I became overly down on the world and virtually everything in it,Adverse
I was so saddened by everything around me,Adverse
"""Epitol is an okay drug but like any drug it has its problems like no sex drive, aggressive behavior and mood swing but if I don't have another seizure it is worth it and so far so good",Adverse
"""Worked great on the pain",Effective
But my AST levels went through the roof,Adverse
"""I have found this drug to balance me out I can actually cope with everyday life I also take other drugs my cocktail is right for me venaflaxine propanadol mertatazapine and carbamazapine work well at the moment",Effective
who knows how long it will last I find my body gets use to the drugs then plays me up,Effective
Was put on carbamazepine 400mg a day which was helping,Effective
"""I started on one tablet a day at beginning of July for acute attack of TGN increasing to two a day for three weeks then down to one then alternate days last one on ,14th August 2017 as pain gone",Effective
"Since then I have had skin rashes, swollen eyes which initially was diagnosed as ', Prickly heat,' then the last two weeks I have suffered from mood swings, disturbed sleeping, emotional, irrational, hyper activity",Adverse
"My brain never stops working thought not always sensible, nor speech",Adverse
Had bloods done and awaiting results,Effective
"""No seizures whilst on Tegretol",Effective
"Extreme headaches first 4 weeks, extreme tiredness",Adverse
6 weeks after starting Tegretol hives started to appear and got worse,Adverse
Blood tests showed liver enzymes were 3 times higher than usual and red blood cell counts slightly reduced,Adverse
Thyroid gland swelled up also,Adverse
All these were shown to be a severe allergic reaction to the drug,Adverse
GENERIC TEGRETOL XR JUST AS GOOD AS THE BRAND NAME!!! I have had epilepsy for 40+ years,Effective
Once I show that is my doctor he prescribed the generic and I I have noticed no difference,Effective
No seizures or side effects,Effective
I was taking 200 once a day and experienced spells or auras (the start of a seizure) but wouldnt lose consciousness,Adverse
I went to the er after experiencing a spell where I wasnt sure if I lost consciousness,Adverse
I ended up having a grand mal in the er that night and now need to get cleared to drive,Adverse
"Luckily, I experienced results with only 200 mg twice daily dose",Effective
Within 1 month of starting; no seizures,Effective
Have been seizure free for 2 years,Effective
"As for side affects; only during the second and third week of treatment; dizzy spells, confusion, lethargy",Adverse
That all went away completely,Effective
"I am very intolerant to many drugs having Adverse reactions to most things ,took Tegretol very reluctantly but had only minimal side effects which didn't last long and after a week/10 days it gave me good pain relief on 100mgs twice daily",Effective
"This drug saved my life, as far as being able to function as a real person",Effective
I do not know what I would have to do if I could not take this med,Effective
I am starting to have seizes unrelated to this med which started before taking this med,Ineffective
"Do not know why my review did not show up, but here I go again I have been taking this for depression for several years and it has brought me out of the funk",Effective
It saved me,Effective
It worked perfectly for helping me,Effective
The only issues were it made me incredibly tired and slightly nauseous all the time,Adverse
My dose was lowered to fix the tiredness but it didn't help my condition at all,Ineffective
"Compared to other medications, I think this one is very easy to take with minimal side effects",Effective
"After two years of guinea pig methods docs found that risperidone, prozac and tegretol worked ""OK"" which is really all you can hope for without self medicating when it comes to Tourette",Effective
I had pretty bad tics as a teen but over the course of young adulthood I slept easily half my natural lifespan away yet was terrified of quitting any of those pills,Effective
It's been at least five months since I stopped risperidone and because I'm still taking the tegretol I truly believe it is bl,Effective
Been on this for 3 months and it has made a huge positive difference,Effective
I was scared about the side effects but I had to weigh up the pros and cons and took it it has helped me lots,Effective
First few weeks had minor side effects but it has gone now,Effective
If I miss a dose and then the side effects come back,Ineffective
But it is the best drug I have been on to control seizures,Effective
"Taken for 9 months , still now I did not experienced any side effects of this med",Effective
it is effective,Effective
Side effects at higher doses are unpleasant,Adverse
Missing a dose or delaying a dose causes increase in number of pain events and severity,Adverse
Good for control until you cant go up on the dose anymore and procedure needs to be done,Effective
"Also good with other side effects blurred vision, dizziness & terrible leg cramps",Adverse
"While in Tegretol 100mg , I have no episodes of mania nor hypomania",Effective
Instead I tend to shift towards depression,Adverse
"I have no changes in my weight, but my sleep pattern was hugely affected",Adverse
"I repeatedly woken up during the night, sometimes 4 or 5 times",Adverse
"I can't sleep continuously for more than 2 hrs, and the quality was very poor",Adverse
"During the day, I was very tired, drowsy, confused and cannot think",Adverse
"My doctor quickly stop the Tegretol, unfortunately after that, my mood swings came back",Effective
"Tegretol is a potent drug that can cause serious side effects including bone marrow depression, aplastic anemia and death",Adverse
The Phenobarbital stopped the grand mal seizures totally & have never had another one in over 30 yrs,Effective
"Had a high stress job & was working way too many hrs - overtime, swing-back shifts and became very fatigued and run-down",Adverse
Then the partials started back in again & the Tegretol seems to have stopped them,Effective
Feel bit more tired with Tegretol though - only drawback,Adverse
Doesn'the seem to work so well in the morning but in the afternoon next dose seems to help with depression,Effective
Paxil and Cabamazepine unable to focus enough to work,Adverse
I have not had a seizure in 3 yrs,Effective
